epoch (val_ndcg@3, val_hr@3) (test_ndcg@3, test_hr@3)
20 (0.23929241576655283, 0.30965005302226933) (0.23728521612634676, 0.30858960763520676)
40 (0.2926426782646595, 0.3743372216330859) (0.27774613740721343, 0.35949098621421)
60 (0.32305452108771704, 0.40827147401908803) (0.29227645214361736, 0.37645811240721105)
80 (0.32958118998258185, 0.4178154825026511) (0.29882827375776694, 0.3828207847295864)
100 (0.35337782549614083, 0.4411452810180276) (0.31542917382972635, 0.4050901378579003)
120 (0.3577836036168802, 0.45493107104984093) (0.3151635585858243, 0.41993637327677624)
140 (0.3549302606006709, 0.45387062566277836) (0.32517541186184235, 0.41675503711558853)
160 (0.356723158229818, 0.45493107104984093) (0.31914073268444526, 0.4135737009544008)
180 (0.35611747737843114, 0.4528101802757158) (0.3264753119792493, 0.4284199363732768)
200 (0.3492497350818096, 0.4443266171792153) (0.32012471211938015, 0.4188759278897137)
220 (0.36338867097788663, 0.46553552492046657) (0.3296063427018668, 0.4188759278897137)
240 (0.35109293814952636, 0.44538706256627786) (0.3217536131760377, 0.41675503711558853)
260 (0.359298813539619, 0.4517497348886532) (0.3181305927359528, 0.4146341463414634)
280 (0.347507142891233, 0.4432661717921527) (0.3149744092940501, 0.41251325556733826)
300 (0.3535418220686303, 0.44220572640509015) (0.3124249144978063, 0.3997879109225875)
320 (0.3582755933343481, 0.45493107104984093) (0.31328313033631605, 0.4029692470837752)
340 (0.3542108886153653, 0.4432661717921527) (0.33168900049992833, 0.4209968186638388)
360 (0.3601952623541923, 0.45068928950159065) (0.31416649889411075, 0.40721102863202546)
380 (0.35368066592183395, 0.45493107104984093) (0.30574632149295894, 0.391304347826087)
400 (0.3453741796546015, 0.43160127253446445) (0.3116673095364371, 0.4050901378579003)
420 (0.3437835115740076, 0.43584305408271473) (0.3168809980571161, 0.40402969247083775)
440 (0.35423604133465053, 0.4559915164369035) (0.3146594964058503, 0.41251325556733826)
460 (0.3519763067073211, 0.44750795334040294) (0.3167170014846268, 0.40827147401908803)
480 (0.34885835624148226, 0.44644750795334043) (0.3061628530525712, 0.39766702014846234)
500 (0.35226707467050816, 0.44644750795334043) (0.3021353735153803, 0.39766702014846234)
520 (0.34724253544160355, 0.4411452810180276) (0.3257810927132288, 0.42311770943796395)
540 (0.3382287496515717, 0.42629904559915166) (0.3069204580139406, 0.3987274655355249)
560 (0.33697915497273456, 0.42311770943796395) (0.3136111234812942, 0.41145281018027574)
580 (0.337332300836998, 0.42735949098621423) (0.30602400919936706, 0.40084835630965004)
600 (0.35320074866687295, 0.4485683987274655) (0.3092938837751887, 0.40084835630965004)
620 (0.3552461812831431, 0.4559915164369035) (0.31950695880548724, 0.4178154825026511)
640 (0.34553817622709077, 0.42948038176033937) (0.30476133426375157, 0.3997879109225875)
660 (0.3367386924481181, 0.4284199363732768) (0.3130557480684779, 0.41251325556733826)
680 (0.33546394504999616, 0.42629904559915166) (0.30902826853128684, 0.4050901378579003)
700 (0.3435309765868844, 0.4411452810180276) (0.3106068641493745, 0.3934252386002121)
720 (0.3403878734017604, 0.42735949098621423) (0.30743760045069307, 0.3987274655355249)
740 (0.3370294604113049, 0.432661717921527) (0.3123615288024574, 0.4050901378579003)
760 (0.3322323034502383, 0.42735949098621423) (0.3042311115702202, 0.4050901378579003)
780 (0.33937773345326794, 0.43160127253446445) (0.3088773522155765, 0.3944856839872747)
800 (0.33194153548705146, 0.4241781548250265) (0.3105434784540257, 0.4050901378579003)
820 (0.339327428014698, 0.4220572640509014) (0.31805513457809775, 0.4209968186638388)
840 (0.33754660284805754, 0.4337221633085896) (0.31291690421527385, 0.4029692470837752)
860 (0.333481898129075, 0.42629904559915166) (0.3066296900507535, 0.39766702014846234)
880 (0.3401604911339224, 0.4284199363732768) (0.3090161960687806, 0.39766702014846234)
900 (0.33022510381003234, 0.41675503711558853) (0.3220192284199396, 0.4146341463414634)
920 (0.33421435037115915, 0.4209968186638388) (0.3000527157173189, 0.3902439024390244)
940 (0.33423950309044426, 0.4220572640509014) (0.3154040211104413, 0.40721102863202546)
960 (0.3447302658271511, 0.43584305408271473) (0.30747583342675683, 0.4050901378579003)
980 (0.33702946041130516, 0.42629904559915166) (0.3149492565747651, 0.41039236479321317)
1000 (0.32719468396455487, 0.4220572640509014) (0.31467156886835684, 0.41251325556733826)
