epoch (val_ndcg@3, val_hr@3) (test_ndcg@3, test_hr@3)
20 (0.3951641127294273, 0.48956953642384105) (0.384702233240308, 0.4779801324503311)
40 (0.4368385284791898, 0.534271523178808) (0.4237768084029128, 0.5216887417218543)
60 (0.4576066206876796, 0.5572847682119205) (0.4416279146724243, 0.5412251655629139)
80 (0.45838715404505803, 0.5561258278145695) (0.44626744590823264, 0.5455298013245033)
100 (0.46845884552684613, 0.5655629139072847) (0.4501346124503336, 0.5506622516556291)
120 (0.46482651490775967, 0.5602649006622517) (0.4530676210312221, 0.5480132450331126)
140 (0.4618364863132705, 0.5587748344370861) (0.4530812868217861, 0.5495033112582781)
160 (0.47345149438741946, 0.5713576158940398) (0.4544788327885548, 0.5528145695364238)
180 (0.4710211437032889, 0.5688741721854305) (0.45562976186495024, 0.552317880794702)
200 (0.469414837942291, 0.5649006622516556) (0.45807377833964247, 0.5569536423841059)
220 (0.47544610333254633, 0.5701986754966888) (0.4574724736867333, 0.5569536423841059)
240 (0.47287563649243314, 0.5708609271523178) (0.45714134785891863, 0.5566225165562914)
260 (0.47210908361104753, 0.5720198675496688) (0.4585546017821685, 0.5577814569536423)
280 (0.4769462230445848, 0.5725165562913908) (0.45130329164912747, 0.5496688741721855)
300 (0.475034238213696, 0.571523178807947) (0.4572616717265867, 0.554635761589404)
320 (0.47223930362287236, 0.5698675496688742) (0.4548727904422917, 0.554635761589404)
340 (0.47138195796357757, 0.5668874172185431) (0.4546602610016573, 0.5468543046357616)
360 (0.47353616066757565, 0.5698675496688742) (0.4586353410732047, 0.5577814569536423)
380 (0.47232412724574446, 0.5693708609271523) (0.4546737694495055, 0.5519867549668874)
400 (0.47394409879730476, 0.5700331125827814) (0.45531434399361537, 0.5549668874172186)
420 (0.4725211060726124, 0.5670529801324503) (0.4535402758100777, 0.5538079470198676)
440 (0.4727320653754752, 0.5672185430463577) (0.4548927400733236, 0.5501655629139073)
460 (0.4725489096818842, 0.5690397350993377) (0.4507417289155648, 0.5456953642384106)
480 (0.4739638910856216, 0.5720198675496688) (0.45443720604600496, 0.5529801324503312)
500 (0.4708774152436161, 0.5650662251655629) (0.45459287281575445, 0.5549668874172186)
520 (0.4720558332438525, 0.5701986754966888) (0.45834379982202117, 0.5543046357615894)
540 (0.4721249489102426, 0.5672185430463577) (0.4550326988865908, 0.5516556291390728)
560 (0.47664619844430106, 0.5771523178807947) (0.459025686423252, 0.5562913907284768)
580 (0.4724816788386965, 0.5731788079470199) (0.454454956168403, 0.5521523178807947)
600 (0.47425574702223405, 0.5685430463576159) (0.4496775082852433, 0.5455298013245033)
620 (0.4719829479310559, 0.569205298013245) (0.45774076768862565, 0.5552980132450331)
640 (0.47516037389368626, 0.5723509933774834) (0.4571652244790705, 0.5506622516556291)
660 (0.4734573061997411, 0.5706953642384106) (0.45369421509933916, 0.5498344370860927)
680 (0.47232805423486474, 0.569205298013245) (0.4491255270104094, 0.5485099337748345)
700 (0.47105852877128823, 0.5710264900662252) (0.45678477527318073, 0.5549668874172186)
720 (0.46930252539557876, 0.5690397350993377) (0.454127914672424, 0.5506622516556291)
740 (0.47721011802921104, 0.5768211920529801) (0.4529669321091552, 0.5524834437086092)
760 (0.4725977610318125, 0.5761589403973509) (0.45205240909354527, 0.5501655629139073)
780 (0.47653388589758844, 0.5758278145695365) (0.4581231017177174, 0.5552980132450331)
800 (0.4775588366367094, 0.5743377483443709) (0.45903558256740973, 0.5572847682119205)
820 (0.4708378306669834, 0.5688741721854305) (0.4561264506066722, 0.5559602649006623)
840 (0.47886778933420143, 0.575) (0.45193412739179484, 0.5533112582781456)
860 (0.47067823690811417, 0.5695364238410596) (0.4558071057462171, 0.5549668874172186)
880 (0.4795121335247178, 0.5789735099337748) (0.4588836854440643, 0.5584437086092715)
900 (0.4744409448817427, 0.5711920529801324) (0.4532722964936162, 0.5531456953642384)
920 (0.47578696796180353, 0.5733443708609272) (0.458692518429519, 0.5577814569536423)
940 (0.48070468934366245, 0.5743377483443709) (0.46133382841651027, 0.5596026490066225)
960 (0.47804767140019105, 0.5774834437086093) (0.4553715213499313, 0.5519867549668874)
980 (0.4750774350940168, 0.5741721854304636) (0.454888655741487, 0.5533112582781456)
1000 (0.4750381652028162, 0.570364238410596) (0.46145211011826115, 0.5592715231788079)
