epoch (val_ndcg@5, val_hr@5) (test_ndcg@5, test_hr@5)
20 (0.274772932271965, 0.39660657476139977) (0.27702814899601585, 0.4093319194061506)
40 (0.32683788363103794, 0.47932131495228) (0.3316569617849526, 0.49522799575821846)
60 (0.33176244305195596, 0.48038176033934255) (0.3229145975521153, 0.48568398727465534)
80 (0.3421130471390699, 0.4878048780487805) (0.3339789919185031, 0.4973488865323436)
100 (0.33279275523141455, 0.47720042417815484) (0.35022983687212356, 0.5259809119830329)
120 (0.3677719379107428, 0.5217391304347826) (0.36314296060505846, 0.5461293743372216)
140 (0.35720117355714215, 0.5068928950159067) (0.36275787776538637, 0.5365853658536586)
160 (0.3626705987399399, 0.5164369034994698) (0.3522094226843798, 0.5196182396606575)
180 (0.36113959514089544, 0.5196182396606575) (0.35320319544245504, 0.5185577942735949)
200 (0.35643114293073497, 0.5079533404029692) (0.36369264409871993, 0.5217391304347826)
220 (0.3553586535007136, 0.503711558854719) (0.35233449980445, 0.5164369034994698)
240 (0.3693740488165831, 0.5164369034994698) (0.33919957694160213, 0.5090137857900318)
260 (0.3595401415314338, 0.5111346765641569) (0.35469943843343976, 0.5217391304347826)
280 (0.3557387024780384, 0.5111346765641569) (0.3459692277407382, 0.5015906680805938)
300 (0.35984601872774424, 0.5143160127253447) (0.3526189460965541, 0.5259809119830329)
320 (0.3582824485160316, 0.5058324496288441) (0.3517403740246069, 0.5121951219512195)
340 (0.35135145915673227, 0.5015906680805938) (0.347819873837333, 0.5121951219512195)
360 (0.34157678075574555, 0.48886532343584305) (0.3444072942446103, 0.5090137857900318)
380 (0.35727151187806017, 0.5174973488865323) (0.35306703658923044, 0.513255567338282)
400 (0.35474982709748026, 0.5005302226935313) (0.342774503604708, 0.5068928950159067)
420 (0.3607388572575889, 0.503711558854719) (0.3332914182759347, 0.4984093319194062)
440 (0.34749645400283474, 0.5058324496288441) (0.34346815007256404, 0.4941675503711559)
460 (0.35423983132616915, 0.5047720042417816) (0.3437237495339051, 0.5068928950159067)
480 (0.36688613523193686, 0.5164369034994698) (0.3462853694507367, 0.5143160127253447)
500 (0.3437700367939603, 0.4909862142099682) (0.34423722484683356, 0.5079533404029692)
520 (0.34518066446273793, 0.49204665959703076) (0.3421126960843788, 0.4973488865323436)
540 (0.3446141816463394, 0.503711558854719) (0.34665843809889185, 0.5015906680805938)
560 (0.3558454963935899, 0.5005302226935313) (0.34316093037626366, 0.5005302226935313)
580 (0.3501576116725995, 0.5015906680805938) (0.3425880677324608, 0.5058324496288441)
600 (0.35400615377362293, 0.5068928950159067) (0.34630151561362743, 0.5005302226935313)
620 (0.35979513905911586, 0.513255567338282) (0.3415899441233265, 0.5090137857900318)
640 (0.3491443788303412, 0.4984093319194062) (0.33643142999918696, 0.48886532343584305)
660 (0.34663957994836775, 0.5058324496288441) (0.33844172253315874, 0.5015906680805938)
680 (0.35107789912601617, 0.4931071049840933) (0.33479511433319886, 0.4867444326617179)
700 (0.3393276915482368, 0.49204665959703076) (0.33649180662751904, 0.49946977730646874)
720 (0.3491581739830229, 0.49522799575821846) (0.3415948699203912, 0.49522799575821846)
740 (0.35071736492412897, 0.5068928950159067) (0.3453705820244434, 0.5047720042417816)
760 (0.3528287296030557, 0.5121951219512195) (0.34136954086743176, 0.503711558854719)
780 (0.3530334778153159, 0.5111346765641569) (0.33190706408295845, 0.48886532343584305)
800 (0.3553406488787643, 0.5026511134676565) (0.3329600387375422, 0.4814422057264051)
820 (0.34512683399808225, 0.4878048780487805) (0.34592516217967473, 0.49522799575821846)
840 (0.3448925814995304, 0.49628844114528103) (0.3305180236172583, 0.48038176033934255)
860 (0.35028709648282413, 0.48886532343584305) (0.327252499892496, 0.47613997879109227)
880 (0.35829249271813995, 0.5068928950159067) (0.3457097401280461, 0.4909862142099682)
900 (0.34331953856664743, 0.49628844114528103) (0.32890606326512956, 0.4814422057264051)
920 (0.3547938926585436, 0.5143160127253447) (0.3417437842474104, 0.5100742311770944)
940 (0.3500660641909491, 0.5026511134676565) (0.3273297084441272, 0.48038176033934255)
960 (0.3368839551696717, 0.47295864262990456) (0.3311983950725157, 0.48462354188759277)
980 (0.3540400358986275, 0.5079533404029692) (0.3365383368769824, 0.4867444326617179)
1000 (0.35515951756187325, 0.5005302226935313) (0.3422519194118215, 0.5026511134676565)
