epoch (val_ndcg@3, val_hr@3) (test_ndcg@3, test_hr@3)
20 (0.3795638137541445, 0.4683774834437086) (0.3887957523563203, 0.4827814569536424)
40 (0.41876468193945454, 0.5061258278145695) (0.42532797897351393, 0.5206953642384106)
60 (0.4360956948752403, 0.5220198675496689) (0.4285385483295919, 0.5246688741721854)
80 (0.44070381019808735, 0.5298013245033113) (0.4360678912659676, 0.5259933774834437)
100 (0.43704776030156317, 0.5208609271523179) (0.4362414655008305, 0.5264900662251656)
120 (0.44044949667218775, 0.526158940397351) (0.43173168224870206, 0.5220198675496689)
140 (0.443080753172306, 0.5322847682119205) (0.4323230907574536, 0.5230132450331125)
160 (0.45203104666745747, 0.5403973509933775) (0.4447285283331386, 0.536092715231788)
180 (0.4469832626164872, 0.5309602649006623) (0.43754429170057035, 0.5259933774834437)
200 (0.4490292371056076, 0.5339403973509934) (0.4271237242685693, 0.5152317880794702)
220 (0.4486904146422683, 0.5304635761589404) (0.43219899724338, 0.5208609271523179)
240 (0.44582447956185256, 0.5288079470198676) (0.4366770498971169, 0.5240066225165563)
260 (0.4477540571724239, 0.5324503311258278) (0.43629063153619047, 0.5283112582781457)
280 (0.450079949288082, 0.5309602649006623) (0.43077977416509283, 0.5208609271523179)
300 (0.4398584028488669, 0.5233443708609271) (0.43347810416568433, 0.5225165562913907)
320 (0.44686702308065523, 0.5336092715231788) (0.43576048471558937, 0.5279801324503312)
340 (0.4488855086459337, 0.5327814569536424) (0.43763084280392905, 0.5304635761589404)
360 (0.44192793927270796, 0.5254966887417218) (0.42937453156279876, 0.5173841059602649)
380 (0.44830399628134093, 0.5339403973509934) (0.43224030930049906, 0.5221854304635761)
400 (0.44820346470198924, 0.5312913907284769) (0.439215628796124, 0.5278145695364238)
420 (0.44789385864297787, 0.5346026490066225) (0.4381609896245297, 0.5301324503311259)
440 (0.4497841663623483, 0.5379139072847682) (0.44281670084496466, 0.5312913907284769)
460 (0.4473715658006172, 0.5350993377483444) (0.43022386590113826, 0.5241721854304636)
480 (0.4506966472120407, 0.5384105960264901) (0.4359576208851733, 0.5236754966887417)
500 (0.4473597848332566, 0.5359271523178808) (0.4464490314640521, 0.5344370860927152)
520 (0.4485325483638862, 0.5321192052980133) (0.43851002291745755, 0.5302980132450331)
540 (0.45488488609508226, 0.5417218543046357) (0.44799234805641197, 0.5400662251655629)
560 (0.44396762992136096, 0.5331125827814569) (0.43210616229955334, 0.5230132450331125)
580 (0.45407702115657633, 0.5400662251655629) (0.43207474638659255, 0.5220198675496689)
600 (0.45909700159827527, 0.5470198675496689) (0.4413875816225193, 0.5329470198675497)
620 (0.4587226788901389, 0.5447019867549668) (0.4438590870210526, 0.5367549668874172)
640 (0.4525000891426223, 0.5394039735099337) (0.439195836507808, 0.5291390728476821)
660 (0.455194492154094, 0.5415562913907285) (0.4380232303198946, 0.5288079470198676)
680 (0.45112626245328946, 0.5375827814569536) (0.43330452993082136, 0.5240066225165563)
700 (0.45412226020281643, 0.5417218543046357) (0.4393317109892413, 0.5304635761589404)
720 (0.4546109376235833, 0.544205298013245) (0.4434985874461946, 0.5339403973509934)
740 (0.4548633663262795, 0.5427152317880795) (0.44250520996275067, 0.5374172185430464)
760 (0.45710820446547, 0.5471854304635762) (0.4401970679694925, 0.5321192052980133)
780 (0.4520092122132239, 0.5377483443708609) (0.44447421480723937, 0.5369205298013245)
800 (0.4574432572824051, 0.5440397350993378) (0.4411037370068617, 0.5321192052980133)
820 (0.45957986720671895, 0.5456953642384106) (0.4444563073421269, 0.5362582781456954)
840 (0.4591145943779584, 0.5506622516556291) (0.4476610648858818, 0.5438741721854304)
860 (0.46142100889073046, 0.5460264900662252) (0.4449687040403286, 0.5390728476821192)
880 (0.4543016462500021, 0.5425496688741722) (0.44837468208550396, 0.5433774834437086)
900 (0.45572683848332685, 0.5410596026490067) (0.44453720397587787, 0.5372516556291391)
920 (0.4536590295399737, 0.5397350993377483) (0.45046196863174254, 0.5437086092715232)
940 (0.455308689524009, 0.5440397350993378) (0.4442473902051821, 0.5379139072847682)
960 (0.45316029863233426, 0.5417218543046357) (0.4434057525023672, 0.5324503311258278)
980 (0.4525885250691835, 0.5433774834437086) (0.44967955045116076, 0.543046357615894)
1000 (0.45741372619264636, 0.5445364238410596) (0.44171085347209327, 0.5372516556291391)
